npz_path,label,video_path,frames_T,fps_orig,stride,detect_rate,mean_visibility,vis_p50,vis_p90,nan_rate_xyz,wall_s,eff_fps,mem_mb_delta
../output/mediapipe_pose_npz/deadlift__0925f4eb-58fa-4e45-a6e7-e03265f0372d.npz,deadlift,../data/deadlift/0925f4eb-58fa-4e45-a6e7-e03265f0372d.mp4,121,23.976023976023978,2,1.0,0.9413756132125854,0.9439899325370789,0.9476550221443176,0.0,8.320894333999604,14.541706112717685,
../output/mediapipe_pose_npz/deadlift__096dc686-5b40-4e09-998d-ea556004b722.npz,deadlift,../data/deadlift/096dc686-5b40-4e09-998d-ea556004b722.mp4,125,25.0,2,0.0,0.0,0.0,0.0,1.0,0.15362574998289347,813.6656778822495,
../output/mediapipe_pose_npz/deadlift__1ac971de-e625-4c80-9248-fed992df8105.npz,deadlift,../data/deadlift/1ac971de-e625-4c80-9248-fed992df8105.mp4,120,23.976023976023978,2,0.0,0.0,0.0,0.0,1.0,0.2627131249755621,456.7720018219971,
../output/mediapipe_pose_npz/deadlift__27cf6847-84de-4e59-bafa-f1b22d449ad5.npz,deadlift,../data/deadlift/27cf6847-84de-4e59-bafa-f1b22d449ad5.mp4,120,23.976023976023978,2,0.0,0.0,0.0,0.0,1.0,0.24530479195527732,489.18734543872165,
../output/mediapipe_pose_npz/deadlift__27d43f0b-0e8f-45e6-80e5-e65a2b1c7b50.npz,deadlift,../data/deadlift/27d43f0b-0e8f-45e6-80e5-e65a2b1c7b50.mp4,150,60.0,4,0.0,0.0,0.0,0.0,1.0,0.5802460830309428,258.5110083233443,
../output/mediapipe_pose_npz/deadlift__2b599cbd-a4f7-45b6-bda9-0316270f9c04.npz,deadlift,../data/deadlift/2b599cbd-a4f7-45b6-bda9-0316270f9c04.mp4,150,30.0,2,0.0,0.0,0.0,0.0,1.0,0.18651491595664993,804.2252236537652,
../output/mediapipe_pose_npz/deadlift__2e22d77e-94ce-47f6-912d-a28f1c4f70cf.npz,deadlift,../data/deadlift/2e22d77e-94ce-47f6-912d-a28f1c4f70cf.mp4,120,60.0,4,0.0,0.0,0.0,0.0,1.0,1.9715474579716101,60.865894713718816,
../output/mediapipe_pose_npz/deadlift__3a2e4a07-4587-4474-9eb0-434a701de631.npz,deadlift,../data/deadlift/3a2e4a07-4587-4474-9eb0-434a701de631.mp4,199,19.75,1,0.0,0.0,0.0,0.0,1.0,0.8748707079794258,227.4621817658111,
../output/mediapipe_pose_npz/deadlift__3fe08ad6-0a66-494c-8479-d70239564ff4.npz,deadlift,../data/deadlift/3fe08ad6-0a66-494c-8479-d70239564ff4.mp4,121,24.0,2,0.0,0.0,0.0,0.0,1.0,0.13632991595659405,887.552810041525,
../output/mediapipe_pose_npz/deadlift__516273ac-d834-4336-b735-0f3009eef3cc.npz,deadlift,../data/deadlift/516273ac-d834-4336-b735-0f3009eef3cc.mp4,121,23.976023976023978,2,0.0,0.0,0.0,0.0,1.0,0.958218207990285,126.27603920591203,
